VX,VY
-2.205439,-4.045445
-2.404598,-8.449786
-3.881706,-11.048112
-5.206678,-11.932313
-7.285169,-10.872663
-2.764960,6.499355
-3.744124,5.782274
-5.561365,4.710571
-6.424842,1.971461
-7.470042,-0.323885
-8.164895,-1.015497
-8.167737,0.771045
-7.790992,5.839978
-6.335589,11.327575
-5.638863,13.020650
-7.009011,11.617686
-7.966666,8.779499
-8.526606,6.325861
-8.372677,3.932356
-7.607131,1.988720
-7.064106,1.346529
-6.787966,1.884203
-6.616351,3.185175
-7.057702,4.573725
-7.634161,5.198309
-7.972417,4.443538
-8.477599,3.319794
-8.915836,3.175585
-8.995541,3.324111
-9.175039,3.128625
-9.057082,2.834081
-8.226392,1.666938
-6.797839,0.113719
-5.223138,-1.608083
-2.996207,-3.109544
-0.568177,-4.985911
1.857132,-5.596023
4.318769,-5.225669
6.497482,-5.187841
8.424404,-4.629526
9.848614,-4.600028
11.193698,-3.476263
12.551742,-1.140135
13.315081,-0.537555
14.237139,0.676604
15.106152,2.789610
15.599993,4.453753
16.168907,6.349768
16.725582,8.226376
16.539066,10.037753
15.986199,11.582706
15.425076,13.085193
14.469404,14.492459
12.923453,14.837847
10.980012,14.449143
8.852568,13.563524
6.278890,12.151270
3.834636,9.737086
1.491642,6.958020
-0.630112,2.618973
-1.590517,-2.716848
-2.145720,-7.399564
-3.705554,-10.170420
-5.160863,-10.973649
-7.428227,-9.752323
-3.097034,8.273662
-3.553014,7.210272
-5.268544,6.266623
-6.526161,3.703021
-7.374196,0.725910
-8.455471,-0.736342
-8.577051,-0.195539
-8.389982,3.725730
-7.251434,9.932966
-6.213711,13.507568
-6.658406,12.628666
-7.764855,10.144752
-8.364608,7.119531
-8.124420,3.820579
-8.203646,1.754621
-8.349183,0.958387
-8.341002,1.445427
-8.386980,3.245157
-8.780764,4.900595
-9.077012,5.464407
-9.220499,4.599352
-9.465447,3.755808
-9.353844,3.531979
-9.497584,3.546701
-9.519062,2.668876
-8.834072,1.510692
-7.817598,0.002206
-5.894825,-1.917251
-3.790488,-4.525047
-1.697536,-6.142031
0.439337,-7.542231
2.355505,-8.322882
4.253795,-8.142296
6.017341,-8.211559
7.521494,-7.731510
8.787009,-7.101818
9.864896,-6.048936
10.880946,-4.628687
11.691123,-3.406369
12.693409,-2.037191
13.710022,-0.435446
14.505888,1.282358
15.164206,3.397283
15.776244,5.603434
16.079584,7.870532
16.030693,10.364124
15.996829,13.001108
15.819835,15.366468
14.871185,16.737347
13.324574,16.941189
11.031700,16.127567
8.234165,14.339191
5.744084,11.558967
3.236920,8.896209
0.695971,4.490125
-0.678435,-1.204538
-1.683187,-6.130661
-3.420392,-9.007918
-5.172835,-9.634303
-7.525780,-8.410044
-3.577081,9.481135
-3.702771,8.347344
-4.675478,7.184716
-5.850986,4.846278
-6.804550,1.844345
-8.912689,0.256500
-9.325105,-0.428772
-9.307709,1.930747
-8.548721,7.351079
-6.846639,11.795843
-5.810206,12.484829
-6.946766,10.835751
-7.488616,7.677734
-7.943698,4.476956
-8.806224,2.057170
-9.371558,0.650055
-9.848255,1.001379
-9.808164,2.689036
-9.777943,4.197114
-9.728260,5.313074
-9.807391,5.400260
-9.600380,4.636620
-9.257311,4.478843
-9.579133,3.911930
-9.472219,2.373239
-8.246020,0.206634
-6.743672,-2.143476
-4.883596,-4.219709
-3.486690,-6.476512
-2.100217,-8.723272
-0.453692,-10.240054
1.164274,-11.220150
2.794031,-11.401767
4.142203,-11.051981
5.345804,-10.216853
6.481144,-9.139440
7.352108,-7.854445
8.177900,-6.489396
9.082790,-5.150145
9.949224,-3.696061
10.688333,-2.168374
11.472480,-0.642852
12.175720,1.120006
12.730945,3.027055
13.304317,5.025776
13.517458,7.331668
13.660388,10.065023
13.911432,13.050255
13.650486,16.026321
13.289175,18.164833
12.142057,18.551744
9.819481,17.315180
7.224768,14.685838
4.587213,11.850168
2.077131,6.785158
0.209459,0.709551
-1.305139,-4.350244
-2.833059,-7.577644
-4.890647,-8.109722
-7.596003,-6.864939
-4.144069,9.332301
-4.069202,9.038687
-4.467193,8.297481
-5.949961,6.798666
-6.786042,3.615369
-8.573616,1.231274
-9.302406,-0.445145
-9.734472,0.561125
-9.371922,4.758731
-7.584596,9.853853
-5.659554,12.401051
-6.152797,11.776348
-6.720491,9.046711
-7.508825,5.920914
-8.481315,2.884997
-9.507487,0.821525
-10.380502,0.284417
-10.363510,1.183090
-10.163429,3.028060
-9.504337,5.041315
-9.041061,6.532804
-9.138673,6.152032
-9.168666,4.956068
-9.265989,3.705014
-8.707867,1.868271
-7.271780,-0.648256
-6.144043,-3.365485
-5.268928,-5.978051
-5.066403,-7.949706
-4.060933,-10.514219
-1.795958,-12.528995
0.098946,-12.868866
1.811646,-12.372280
3.217315,-11.684396
4.279251,-10.339508
5.242798,-8.937002
6.107161,-7.545753
6.829768,-6.048218
7.512733,-4.517932
8.236242,-3.000427
8.762143,-1.429646
9.278977,0.029993
9.808294,1.573992
10.075534,3.119127
10.416645,4.647190
10.537020,6.353330
10.899330,8.276341
11.184494,10.699300
11.008130,13.463680
10.755433,16.460739
10.417908,18.764584
9.353154,19.335110
7.691770,17.521463
5.444753,14.458480
3.084171,8.831862
0.661914,2.873031
-1.425853,-1.921565
-2.913362,-5.500942
-5.356155,-5.987988
-7.894362,-5.069035
-4.893029,8.812342
-4.304605,9.173587
-3.805461,8.795286
-5.415362,8.200006
-6.227565,5.302684
-7.400033,2.347186
-8.838948,0.262172
-9.825460,-0.072683
-9.848774,2.567725
-8.320545,7.619732
-6.029342,11.874000
-4.965775,12.203099
-5.566623,10.241302
-6.018777,7.360921
-6.711480,4.160461
-8.236911,1.936980
-9.300636,0.443076
-9.515959,0.067181
-9.823518,1.354077
-9.608971,3.960318
-8.989263,5.767045
-9.190251,6.210555
-8.803706,4.564211
-8.247423,2.809214
-7.606464,0.912249
-6.584425,-2.004610
-6.573811,-4.361512
-6.813429,-6.961581
-6.128983,-9.434466
-3.879595,-11.974491
-1.365713,-13.466418
-0.116314,-13.230654
0.552917,-12.306327
1.488066,-11.922622
2.426650,-10.642754
2.845756,-8.801284
3.382835,-7.411044
3.730569,-5.964465
4.058747,-4.415009
4.630837,-2.910518
5.316179,-1.379947
5.973680,0.262866
6.542682,2.077316
6.802491,3.871605
7.133898,5.478874
7.161912,7.177317
7.660590,8.542597
7.955832,10.260317
8.044567,12.233345
7.921133,14.649570
7.355433,17.514917
6.940073,19.596403
6.437882,19.087503
4.995629,16.412893
3.031614,10.708699
0.625418,4.713888
-1.329664,-0.250296
-2.879889,-3.699816
-6.077372,-3.545498
-8.389548,-3.014766
-5.162194,7.763382
-4.242068,8.822770
-3.106060,9.282164
-4.349502,8.865379
-5.214642,6.802115
-6.299080,4.160251
-7.979369,1.725396
-9.312295,0.116880
-10.047811,0.954269
-9.062144,4.518463
-6.957935,9.600879
-4.601464,11.474570
-4.496237,10.518466
-4.401924,8.374163
-4.852983,6.035522
-6.391214,4.028506
-7.403913,1.937258
-8.144587,0.581742
-8.906590,0.509489
-8.653987,1.556668
-8.061189,3.005725
-8.363104,4.593697
-7.870190,3.896824
-7.284543,2.200153
-7.232318,0.430778
-7.080527,-2.424430
-7.265624,-4.984673
-6.847077,-7.881304
-5.472883,-10.609131
-3.528656,-13.019456
-2.381945,-14.461559
-2.186197,-14.945469
-2.289096,-13.894868
-1.659737,-12.715489
-0.973104,-11.090137
-1.343337,-9.123105
-1.453772,-7.975236
-1.286065,-7.003983
-0.822913,-5.930708
-0.177272,-4.444360
0.677188,-2.777593
1.507456,-0.866582
2.131305,1.231091
2.647479,3.306741
3.231302,5.257244
3.513216,7.274909
3.859910,8.928152
4.108755,10.539056
4.441960,12.149596
4.559331,14.002704
4.212590,16.228067
3.670583,18.493572
3.513553,19.235209
3.014617,17.210247
1.835293,12.022379
-0.181696,6.173193
-1.891951,1.452504
-3.167254,-1.970671
-6.295880,-1.863610
-8.821331,-1.217776
-5.163717,6.974567
-4.041818,8.069870
-2.573836,9.085852
-3.435089,9.377507
-4.152092,8.299417
-5.043734,6.198448
-6.542747,3.613365
-7.875011,1.216477
-8.992948,0.161788
-8.966878,1.624139
