VX,VY
2.64001,-7.456213
-6.329985,-2.976213
-6.389985,-3.626213
-4.449985,-3.846213
-2.459985,-3.386213
-10.26999,2.413787
-11.99998,-0.8962134
-12.21999,-0.4862134
-10.16998,0.6537866
-8.509985,1.283787
-7.869985,-0.1862134
-7.459985,-0.6962134
-6.409985,-0.7262133
-5.799985,0.0238
-5.469985,-0.0662
-4.889985,0.3937866
-4.439985,0.9237866
-5.709985,2.703787
-6.269985,2.043787
-5.319985,0.4437866
-4.279985,0.5637866
-4.499985,0.9937866
-4.559985,1.763787
-5.449985,1.903787
-5.939985,2.903787
-6.099985,4.873786
-6.459985,4.693787
-7.109985,3.543787
-7.489985,3.413787
-8.109985,3.263787
-8.519985,2.853786
-8.329986,2.173787
-8.069985,0.7037866
-7.579985,-1.176213
-7.759985,-0.4162134
-8.799985,1.553787
-9.169985,2.233787
-10.93999,0.5137866
-10.26999,-2.056213
-6.179985,-1.946213
-5.889985,-1.446213
-6.959985,-3.876213
-6.429985,-5.736213
-5.149985,-6.576213
-4.749985,-5.546213
-2.689985,-4.526213
-8.259985,-0.6962134
-9.309985,-2.546213
-9.329986,-0.5562134
-9.079986,0.8737866
-9.709985,1.113787
-9.949986,-0.1962134
-9.849985,-0.4862134
-8.119986,-0.1962134
-7.459985,0.6037866
-7.009985,1.133787
-7.529985,1.973787
-7.539985,2.843786
-7.769985,3.323786
-7.219985,2.163787
-6.209985,1.753787
-5.669985,1.573787
-5.129985,1.443787
-5.339985,1.723787
-6.339985,1.843787
-6.539985,3.053787
-6.809985,4.113787
-7.719985,3.603786
-7.989985,2.963787
-8.249985,2.373786
-8.209985,1.733787
-8.599985,1.533787
-7.969985,0.9337866
-6.979985,-0.1062134
-6.619985,-1.126213
-6.819985,-1.176213
-6.939985,-0.2862134
-7.729985,0.5937866
-9.579985,-0.6162134
-8.669985,-1.676213
-6.609985,-1.276213
-6.569985,-3.026213
-6.139985,-4.436213
-5.649985,-6.406213
-4.969985,-7.066213
-4.509985,-6.086213
-3.309985,-4.966213
-6.329985,-1.676213
-5.109985,-1.506213
-4.819985,-0.0162
-5.989985,0.8037866
-7.549985,0.4137866
-8.709985,-0.6262134
-9.269985,-0.4062134
-8.609985,0.4137866
-8.719985,0.1837866
-8.979985,1.113787
-9.379985,2.253787
-9.629985,2.563787
-9.939985,2.453787
-9.389985,2.033787
-8.739985,1.983787
-8.379985,2.133787
-7.719985,2.063787
-7.719985,1.863787
-7.559985,2.223787
-7.889985,2.423787
-7.909985,2.713787
-7.829985,2.433787
-7.559985,1.963787
-7.439985,0.9037866
-7.759985,0.6437866
-8.549985,1.003787
-8.119986,0.5437866
-7.159985,-0.6662134
-6.399985,-1.426213
-6.359985,-1.746213
-5.389985,-1.746213
-6.079985,-1.336213
-7.139985,-1.006213
-8.539985,-1.556213
-9.539985,-2.946213
-8.429985,-3.906213
-7.939985,-3.556213
-7.059985,-3.406213
-4.469985,-3.266213
-2.399985,-3.216213
-1.209985,-3.446213
-7.499985,-0.6162134
-6.949985,-0.8062134
-5.749985,-1.326213
-5.299985,-0.2462134
-6.009985,0.00379
-8.279985,0.1837866
-8.859985,0.2437866
-9.199986,0.2337866
-9.709985,-0.0762
-10.58998,-0.0962
-10.83998,0.5437866
-10.45998,1.373787
-10.47999,1.703787
-10.45998,1.813787
-9.949986,2.213787
-9.159986,2.563787
-8.259985,2.693787
-8.379985,2.353786
-8.939985,2.193787
-9.429985,1.603787
