X,Y
-24,-37.5
-25.5,-37.5
-27,-37.5
-28.5,-37.5
-30,-37.5
-31.5,-37.5
-33,-37.5
-34.5,-37.5
-36,-37.5
-37.5,-37.5
-39,-37.5
-40.5,-37.5
-42,-37.5
-43.5,-37.5
-45,-37.5
-46.5,-37.5
-48,-37.5
-49.5,-37.5
-51,-37.5
-52.5,-37.5
-54,-37.5
-55.5,-37.5
-57,-37.5
-58.5,-37.5
-60,-37.5
-61.5,-37.5
-63,-37.5
-64.5,-37.5
-66,-37.5
-67.5,-37.5
-69,-37.5
-70.5,-37.5
0,-39
-1.5,-39
-3,-39
-4.5,-39
-6,-39
-7.5,-39
-9,-39
-10.5,-39
-12,-39
-13.5,-39
-15,-39
-16.5,-39
-18,-39
-19.5,-39
-21,-39
-22.5,-39
-24,-39
-25.5,-39
-27,-39
-28.5,-39
-30,-39
-31.5,-39
-33,-39
-34.5,-39
-36,-39
-37.5,-39
-39,-39
-40.5,-39
-42,-39
-43.5,-39
-45,-39
-46.5,-39
-48,-39
-49.5,-39
-51,-39
-52.5,-39
-54,-39
-55.5,-39
-57,-39
-58.5,-39
-60,-39
-61.5,-39
-63,-39
-64.5,-39
-66,-39
-67.5,-39
-69,-39
-70.5,-39
0,-40.5
-1.5,-40.5
-3,-40.5
-4.5,-40.5
-6,-40.5
-7.5,-40.5
-9,-40.5
-10.5,-40.5
-12,-40.5
-13.5,-40.5
-15,-40.5
-16.5,-40.5
-18,-40.5
-19.5,-40.5
-21,-40.5
-22.5,-40.5
-24,-40.5
-25.5,-40.5
-27,-40.5
-28.5,-40.5
-30,-40.5
-31.5,-40.5
-33,-40.5
-34.5,-40.5
-36,-40.5
-37.5,-40.5
-39,-40.5
-40.5,-40.5
-42,-40.5
-43.5,-40.5
-45,-40.5
-46.5,-40.5
-48,-40.5
-49.5,-40.5
-51,-40.5
-52.5,-40.5
-54,-40.5
-55.5,-40.5
-57,-40.5
-58.5,-40.5
-60,-40.5
-61.5,-40.5
-63,-40.5
-64.5,-40.5
-66,-40.5
-67.5,-40.5
-69,-40.5
-70.5,-40.5
0,-42
-1.5,-42
-3,-42
-4.5,-42
-6,-42
-7.5,-42
-9,-42
-10.5,-42
-12,-42
-13.5,-42
-15,-42
-16.5,-42
-18,-42
-19.5,-42
-21,-42
-22.5,-42
-24,-42
-25.5,-42
-27,-42
-28.5,-42
-30,-42
-31.5,-42
-33,-42
-34.5,-42
-36,-42
-37.5,-42
-39,-42
-40.5,-42
-42,-42
-43.5,-42
-45,-42
-46.5,-42
-48,-42
-49.5,-42
-51,-42
-52.5,-42
-54,-42
-55.5,-42
-57,-42
-58.5,-42
-60,-42
-61.5,-42
-63,-42
-64.5,-42
-66,-42
-67.5,-42
-69,-42
-70.5,-42
0,-43.5
-1.5,-43.5
-3,-43.5
-4.5,-43.5
-6,-43.5
-7.5,-43.5
-9,-43.5
-10.5,-43.5
-12,-43.5
-13.5,-43.5
-15,-43.5
-16.5,-43.5
-18,-43.5
-19.5,-43.5
-21,-43.5
-22.5,-43.5
-24,-43.5
-25.5,-43.5
-27,-43.5
-28.5,-43.5
-30,-43.5
-31.5,-43.5
-33,-43.5
-34.5,-43.5
-36,-43.5
-37.5,-43.5
-39,-43.5
-40.5,-43.5
-42,-43.5
-43.5,-43.5
-45,-43.5
-46.5,-43.5
-48,-43.5
-49.5,-43.5
-51,-43.5
-52.5,-43.5
-54,-43.5
-55.5,-43.5
-57,-43.5
-58.5,-43.5
-60,-43.5
-61.5,-43.5
-63,-43.5
-64.5,-43.5
-66,-43.5
-67.5,-43.5
-69,-43.5
-70.5,-43.5
0,-45
-1.5,-45
-3,-45
-4.5,-45
-6,-45
-7.5,-45
-9,-45
-10.5,-45
-12,-45
-13.5,-45
-15,-45
-16.5,-45
-18,-45
-19.5,-45
-21,-45
-22.5,-45
-24,-45
-25.5,-45
-27,-45
-28.5,-45
-30,-45
-31.5,-45
-33,-45
-34.5,-45
-36,-45
-37.5,-45
-39,-45
-40.5,-45
-42,-45
-43.5,-45
-45,-45
-46.5,-45
-48,-45
-49.5,-45
-51,-45
-52.5,-45
-54,-45
-55.5,-45
-57,-45
-58.5,-45
-60,-45
-61.5,-45
-63,-45
-64.5,-45
-66,-45
-67.5,-45
-69,-45
-70.5,-45
0,-46.5
-1.5,-46.5
-3,-46.5
-4.5,-46.5
-6,-46.5
-7.5,-46.5
-9,-46.5
-10.5,-46.5
-12,-46.5
-13.5,-46.5
-15,-46.5
-16.5,-46.5
-18,-46.5
-19.5,-46.5
-21,-46.5
-22.5,-46.5
-24,-46.5
-25.5,-46.5
-27,-46.5
-28.5,-46.5
-30,-46.5
-31.5,-46.5
-33,-46.5
-34.5,-46.5
-36,-46.5
-37.5,-46.5
-39,-46.5
-40.5,-46.5
-42,-46.5
-43.5,-46.5
-45,-46.5
-46.5,-46.5
-48,-46.5
-49.5,-46.5
-51,-46.5
-52.5,-46.5
-54,-46.5
-55.5,-46.5
-57,-46.5
-58.5,-46.5
-60,-46.5
-61.5,-46.5
-63,-46.5
-64.5,-46.5
-66,-46.5
-67.5,-46.5
-69,-46.5
-70.5,-46.5
0,-48
-1.5,-48
-3,-48
-4.5,-48
-6,-48
-7.5,-48
-9,-48
-10.5,-48
-12,-48
-13.5,-48
-15,-48
-16.5,-48
-18,-48
-19.5,-48
-21,-48
-22.5,-48
-24,-48
-25.5,-48
-27,-48
-28.5,-48
-30,-48
-31.5,-48
-33,-48
-34.5,-48
-36,-48
-37.5,-48
-39,-48
-40.5,-48
-42,-48
-43.5,-48
-45,-48
-46.5,-48
-48,-48
-49.5,-48
-51,-48
-52.5,-48
-54,-48
-55.5,-48
-57,-48
-58.5,-48
-60,-48
-61.5,-48
-63,-48
-64.5,-48
-66,-48
-67.5,-48
-69,-48
-70.5,-48
0,-49.5
-1.5,-49.5
-3,-49.5
-4.5,-49.5
-6,-49.5
-7.5,-49.5
-9,-49.5
-10.5,-49.5
-12,-49.5
-13.5,-49.5
-15,-49.5
-16.5,-49.5
-18,-49.5
-19.5,-49.5
-21,-49.5
-22.5,-49.5
-24,-49.5
-25.5,-49.5
-27,-49.5
-28.5,-49.5
-30,-49.5
-31.5,-49.5
-33,-49.5
-34.5,-49.5
-36,-49.5
-37.5,-49.5
-39,-49.5
-40.5,-49.5
-42,-49.5
-43.5,-49.5
-45,-49.5
-46.5,-49.5
-48,-49.5
-49.5,-49.5
-51,-49.5
-52.5,-49.5
-54,-49.5
-55.5,-49.5
-57,-49.5
-58.5,-49.5
-60,-49.5
-61.5,-49.5
-63,-49.5
-64.5,-49.5
-66,-49.5
-67.5,-49.5
-69,-49.5
-70.5,-49.5
0,-51
