U,V
-10.55,-6.51
-9.38,-5.11
-9.15,-3.95
-9.91,-5.44
-12.03,-8.17
-13.97,-9.32
-14.35,-7.54
-14.11,-4.87
-14.52,-3.22
-15.65,-1.17
-16.58,0.72
-17.25,0.93
-15.79,3.84
-10.85,10.18
-6.51,14.09
-4.52,12.86
-1.67,8.61
-2.14,4.53
-4.6,1.42
11.21,0.8
11.59,-0.43
12.32,-1.63
13,-1.85
13.73,-0.23
14.62,2.4
14.87,4.05
14.22,4.8
13.6,5.44
13.11,5.66
12.57,5.67
11.93,5.48
11.13,5.21
10.36,5.19
9.639999,5.6
8.86,6.16
7.85,6.38
6.83,6.47
6.48,6.78
6.58,7
6.45,7.15
5.89,7.01
4.76,6.35
2.72,4.85
0.14,2.91
-2.54,1.26
-4.83,-0.049999997
-6.7,-2
-7.9,-4.5
-7.78,-6.17
-7.37,-6.35
-7.2,-5.62
-7.03,-4.94
-7.46,-3.99
-8.9,-3.03
-10.97,-2.3
-12.56,-1.64
-13.54,-1.87
-14.33,-2.25
-14.25,-1.26
-14.07,0.83
-13.99,4.26
-12.36,7.97
-9.75,9.349999
-7.36,8.62
-4.86,6.63
-2.28,3.47
-3.8,1.01
11.5,-0.22
12.07,-1.18
12.88,-2.38
13.99,-2.52
15.13,-0.87
15.79,2.13
15.48,4.59
14.34,6.02
13.56,6.88
13.14,6.81
12.29,6.39
10.88,6.17
9.28,5.93
8.179999,5.97
8.23,6.59
9.36,7.01
10.17,6.7
10.1,6.39
9.91,6.52
9.75,6.68
9.389999,6.68
8.95,6.6
8.679999,6.45
8.42,6.15
7.53,5.61
5.59,4.6
3.22,2.89
0.87,0.16
-1.17,-2.77
-2.47,-4.95
-3.46,-6.08
-4.61,-5.89
-5.85,-4.74
-6.86,-2.61
-7.79,-0.68
-9.01,-0.11
-10.1,-0.16
-10.94,-0.37
-12.06,-0.49
-13.14,0.66
-13.93,3.23
-14.15,5.94
-13.1,7.2
-10.86,6.6
-8.75,5.8
-6.96,4.66
-5.1,2.36
-4.24,0.12
11.83,-0.76
12.26,-1.64
12.84,-2.47
13.4,-1.72
13.56,0.62
13.13,3.71
12.51,6.04
11.85,6.93
11.53,7.26
11.54,7.25
11.28,7.23
10.52,7.31
9.45,7.03
8.22,6.33
7.61,5.98
8.29,5.98
9.51,5.72
10.6,5.51
11.15,6.15
10.43,7.93
8.67,9.54
6.29,9.46
4.23,8.03
3.6,6.14
4.18,4.92
5.11,4.67
5.46,4.14
4.81,2.34
3.55,-0.02
1.65,-2.15
-0.64,-3.49
-3.01,-3.32
-5.17,-2.06
-6.88,-0.21
-8.21,1.52
-9.48,2.53
-10.77,3.21
-11.96,3.94
-12.9,4.67
-13.12,5.22
-12.54,5.36
-10.86,4.74
-8.44,3.8
-6.53,3.17
-5.76,3.06
-5.53,2.63
-4.88,0.57
-4.22,-1.54
12.18,-1.06
12.33,-1.9
12.04,-2.33
11.1,-1.13
10.21,1.21
9.96,3.92
10.07,6.09
9.969999,6.94
9.75,6.94
9.66,6.7
9.69,6.89
9.95,7.47
10.25,7.56
9.929999,6.91
9.059999,6.36
8.15,6.08
7.78,5.47
8.46,4.77
9.61,5.58
9.86,9.21
8.74,13.17
6.34,14.03
3.62,11.76
1.6,7.39
0.85,3.57
1.52,2.27
2.39,2.43
2.55,2.38
2.01,1.73
0.71,1.04
-1.12,0.81
-3.08,1.42
-4.64,2.55
-5.48,3.72
-5.82,4.66
