Y,X,VY,VX
-60,45,2.64001,-7.456213
-13.5,25.5,-11.90999,4.803786
-12,25.5,-16.36999,4.283786
-10.5,25.5,-16.49998,2.183787
-9,25.5,-16.44999,0.1737866
-7.5,25.5,-15.76999,-1.516213
-6,25.5,-14.45998,-2.776213
-4.5,25.5,-14.24998,-3.986213
-3,25.5,-14.07998,-5.616213
-1.5,25.5,-12.08998,-6.516213
0,25.5,-10.60999,-6.126213
-60,24,-6.099985,-2.676213
-58.5,24,-5.619985,-4.536213
-57,24,-5.299985,-2.866213
-55.5,24,-5.829985,-0.4262134
-54,24,-5.799985,-1.026213
-52.5,24,-6.139985,-0.2462134
-51,24,-8.329986,-0.1762134
-49.5,24,-8.749985,-1.076213
-48,24,-7.279985,1.613787
-46.5,24,-10.51999,2.653787
-45,24,-12.13999,1.883787
-43.5,24,-11.68999,2.163787
-42,24,-12.65999,1.393787
-40.5,24,-12.49998,0.7037866
-39,24,-12.69999,0.6437866
-37.5,24,-13.66998,-0.6462134
-36,24,-14.93999,-2.086213
-34.5,24,-14.44999,-2.916213
-33,24,-13.73999,-4.616213
-31.5,24,-11.53998,-6.226213
-30,24,-9.909986,-6.356213
-28.5,24,-11.37998,-9.286213
-27,24,-10.32998,-12.54621
-25.5,24,-6.779985,-11.00621
-24,24,-5.899985,-5.286213
-22.5,24,-6.079985,0.4237866
-21,24,-5.069985,3.743787
-19.5,24,-4.259985,4.603786
-18,24,-2.539985,4.283786
-16.5,24,-2.719985,3.043787
-15,24,-5.419985,0.6537866
-13.5,24,-10.37998,3.363786
-12,24,-15.62998,3.753787
-10.5,24,-15.50998,2.923787
-9,24,-15.11998,2.603786
-7.5,24,-15.32998,1.013787
-6,24,-14.25998,-0.7362134
-4.5,24,-12.95998,-3.056213
-3,24,-10.97999,-5.046213
-1.5,24,-9.459985,-5.546213
0,24,-7.399985,-4.876213
-60,22.5,-7.649985,-1.016213
-58.5,22.5,-7.239985,-3.806213
-57,22.5,-6.839985,-2.776213
-55.5,22.5,-7.329985,-1.196213
-54,22.5,-7.609985,-1.946213
-52.5,22.5,-7.439985,-1.466213
-51,22.5,-9.239985,-1.796213
-49.5,22.5,-11.33998,-1.296213
-48,22.5,-12.50998,2.063787
-46.5,22.5,-12.93999,2.813787
-45,22.5,-10.77999,0.5437866
-43.5,22.5,-10.82998,0.1937866
-42,22.5,-12.03998,1.143787
-40.5,22.5,-12.18999,0.3637866
-39,22.5,-13.26999,0.2737866
-37.5,22.5,-13.97999,-0.5762134
