U,V
-5.603818,-2.332147
-5.303818,-2.432147
-5.003818,-2.432147
-4.603818,-2.432147
-4.203818,-2.332147
-3.903818,-2.232147
-3.603818,-2.132147
-3.303818,-2.132147
-3.003818,-2.132147
-2.703818,-2.132147
-2.303818,-2.232147
-2.003818,-2.332147
-1.703818,-2.432147
-1.303818,-2.532147
-1.003818,-2.632147
-0.7038178,-2.632147
-0.5038177,-2.732147
-0.3038177,-2.732147
-0.2038178,-2.732147
-0.1038178,-2.732147
-0.1038178,-2.632147
-3.82E-03,-2.732147
9.62E-02,-2.732147
9.62E-02,-2.832147
0.1961823,-2.932147
0.1961823,-3.032147
0.1961823,-3.032147
0.1961823,-3.132147
9.62E-02,-3.232147
9.62E-02,-3.332147
9.62E-02,-3.332147
9.62E-02,-3.532147
0.1961823,-3.632147
0.1961823,-3.832147
0.1961823,-4.132147
0.2961822,-4.332147
0.2961822,-4.632147
0.2961822,-4.932148
0.2961822,-5.232147
0.2961822,-5.532147
0.2961822,-5.932148
0.3961823,-6.332147
0.3961823,-6.632147
0.4961823,-7.032147
0.5961823,-7.432148
0.6961823,-7.832147
0.7961823,-8.232147
0.8961822,-8.532147
1.096182,-8.832148
1.196182,-9.032147
1.396182,-9.132148
1.696182,-9.232147
1.796182,-9.332148
2.096182,-9.332148
2.296182,-9.332148
2.596182,-9.232147
2.796182,-9.132148
2.996182,-9.032147
3.196182,-8.832148
3.396182,-8.632148
3.496182,-8.432147
3.596182,-8.132148
3.696182,-7.832147
3.796182,-7.532147
3.796182,-7.132147
3.796182,-6.732147
3.796182,-6.232147
3.796182,-5.732147
-2.103818,-3.832147
-1.903818,-3.732147
-1.503818,-3.532147
-1.203818,-3.332147
-0.9038178,-3.032147
-0.7038178,-2.932147
-0.4038177,-2.832147
-0.2038178,-2.832147
-3.82E-03,-2.832147
0.2961822,-3.132147
0.6961823,-3.232147
1.096182,-3.432147
1.596182,-3.532147
1.896182,-3.532147
2.296182,-3.532147
2.696182,-3.532147
2.896182,-3.432147
3.096182,-3.332147
3.296182,-3.232147
3.296182,-3.232147
3.496182,-3.232147
3.596182,-3.232147
3.796182,-3.232147
3.896182,-3.232147
3.996182,-3.332147
4.096182,-3.332147
4.096182,-3.332147
4.096182,-3.332147
4.096182,-3.332147
3.996182,-3.432147
3.996182,-3.432147
3.796182,-3.432147
3.796182,-3.532147
3.596182,-3.632147
3.496182,-3.732147
3.296182,-3.932147
3.196182,-4.132147
2.996182,-4.432148
2.896182,-4.732147
2.696182,-5.032147
2.596182,-5.432148
2.596182,-5.832147
2.496182,-6.232147
2.596182,-6.732147
2.596182,-7.132147
2.596182,-7.632147
2.696182,-8.032147
2.796182,-8.432147
2.896182,-8.732147
2.996182,-9.032147
3.196182,-9.232147
3.296182,-9.432147
3.496182,-9.532147
3.696182,-9.532147
3.896182,-9.432147
3.996182,-9.332148
4.196182,-9.032147
4.196182,-8.832148
4.296182,-8.432147
4.296182,-8.132148
4.296182,-7.632147
4.296182,-7.132147
4.196182,-6.632147
