X,Y
-97.5,49.5
-99,49.5
-100.5,49.5
-102,49.5
-103.5,49.5
-105,49.5
-106.5,49.5
-108,49.5
-109.5,49.5
-111,49.5
-112.5,49.5
-114,49.5
-115.5,49.5
-117,49.5
-118.5,49.5
-120,49.5
-121.5,49.5
-123,49.5
-124.5,49.5
-126,49.5
-127.5,49.5
-129,49.5
-130.5,49.5
-132,49.5
-133.5,49.5
-135,49.5
-136.5,49.5
-138,49.5
-139.5,49.5
-141,49.5
-142.5,49.5
-144,49.5
-145.5,49.5
-147,49.5
-148.5,49.5
-150,49.5
-49.5,48
-51,48
-52.5,48
-54,48
-55.5,48
-57,48
-58.5,48
-60,48
-61.5,48
-63,48
-64.5,48
-66,48
-67.5,48
-69,48
-70.5,48
-72,48
-73.5,48
-75,48
-76.5,48
-78,48
-79.5,48
-81,48
-82.5,48
-84,48
-85.5,48
-87,48
-88.5,48
-90,48
-91.5,48
-93,48
-94.5,48
-96,48
-97.5,48
-99,48
-100.5,48
-102,48
-103.5,48
-105,48
-106.5,48
-108,48
-109.5,48
-111,48
-112.5,48
-114,48
-115.5,48
-117,48
-118.5,48
-120,48
-121.5,48
-123,48
-124.5,48
-126,48
-127.5,48
-129,48
-130.5,48
-132,48
-133.5,48
-135,48
-136.5,48
-138,48
-139.5,48
-141,48
-142.5,48
-144,48
-145.5,48
-147,48
-148.5,48
-150,48
-49.5,46.5
-51,46.5
-52.5,46.5
-54,46.5
-55.5,46.5
-57,46.5
-58.5,46.5
-60,46.5
-61.5,46.5
-63,46.5
-64.5,46.5
-66,46.5
-67.5,46.5
-69,46.5
-70.5,46.5
-72,46.5
-73.5,46.5
-75,46.5
-76.5,46.5
-78,46.5
-79.5,46.5
-81,46.5
-82.5,46.5
-84,46.5
-85.5,46.5
-87,46.5
-88.5,46.5
-90,46.5
-91.5,46.5
-93,46.5
